x,hi,low
632.0,1.13758,1.13743
633.0,1.13755,1.13739
634.0,1.13752,1.13737
635.0,1.1375,1.13735
636.0,1.13747,1.13732
637.0,1.13744,1.1373
638.0,1.13754,1.13738
639.0,1.13755,1.13743
640.0,1.1376,1.13745
641.0,1.13767,1.1375
642.0,1.13769,1.13755
643.0,1.13776,1.13762
644.0,1.1378,1.13764
645.0,1.13777,1.13762
646.0,1.13771,1.13756
647.0,1.13774,1.13758
648.0,1.13768,1.13754
649.0,1.13772,1.13756
650.0,1.13775,1.1376
651.0,1.13774,1.1376
652.0,1.13772,1.13757
653.0,1.1377,1.13755
654.0,1.13771,1.13753
655.0,1.13773,1.13757
656.0,1.13767,1.13753
657.0,1.13765,1.1375
658.0,1.13764,1.13747
659.0,1.13762,1.13744
660.0,1.13758,1.13739
661.0,1.13761,1.13742
662.0,1.13763,1.13746
663.0,1.1376,1.13744
664.0,1.1376,1.13745
665.0,1.13765,1.1375
666.0,1.13772,1.13756
667.0,1.13776,1.1376
668.0,1.13777,1.1376
669.0,1.13778,1.13764
670.0,1.1377,1.13756
671.0,1.13768,1.13753
672.0,1.13771,1.13755
673.0,1.13775,1.13759
674.0,1.13763,1.13746
675.0,1.13769,1.13753
676.0,1.13772,1.13757
677.0,1.13765,1.1375
678.0,1.13771,1.13757
679.0,1.13767,1.13751
680.0,1.13764,1.13749
681.0,1.13767,1.13753
682.0,1.1377,1.13755
683.0,1.13768,1.13751
684.0,1.13763,1.13746
685.0,1.13767,1.13752
686.0,1.1377,1.13754
687.0,1.13768,1.13752
688.0,1.1377,1.13756
689.0,1.13768,1.13753
690.0,1.13775,1.13759
691.0,1.1377,1.13756
692.0,1.13767,1.13752
693.0,1.13771,1.13756
694.0,1.13773,1.13758
695.0,1.13769,1.13756
696.0,1.1377,1.13757
697.0,1.13779,1.13764
698.0,1.13793,1.13779
699.0,1.1378,1.13766
700.0,1.13784,1.13771
701.0,1.13782,1.13768
702.0,1.13786,1.1377
703.0,1.13788,1.13774
704.0,1.13786,1.13771
705.0,1.13778,1.13764
706.0,1.13782,1.13767
707.0,1.13789,1.13775
708.0,1.13797,1.13783
709.0,1.13801,1.13787
710.0,1.13797,1.13783
711.0,1.13801,1.13785
712.0,1.13799,1.13785
713.0,1.13796,1.1378
714.0,1.1379,1.13773
715.0,1.13787,1.13771
716.0,1.13783,1.13766
717.0,1.13772,1.13757
718.0,1.13769,1.13754
719.0,1.13769,1.13755
720.0,1.13772,1.13757
721.0,1.13775,1.1376
722.0,1.13778,1.13764
723.0,1.13775,1.1376
724.0,1.13777,1.13763
725.0,1.13779,1.13763
726.0,1.13776,1.13761
727.0,1.13776,1.13762
728.0,1.13774,1.1376
729.0,1.13778,1.13763
730.0,1.13783,1.13768
731.0,1.13777,1.13762
732.0,1.1377,1.13755
733.0,1.13772,1.13757
734.0,1.13769,1.13754
735.0,1.13754,1.13738
736.0,1.13757,1.13742
737.0,1.13754,1.13738
738.0,1.13759,1.13743
739.0,1.13753,1.13738
740.0,1.13743,1.13728
741.0,1.13745,1.1373
742.0,1.13745,1.13728
743.0,1.13747,1.13731
744.0,1.13751,1.13736
745.0,1.1376,1.13746
746.0,1.13756,1.13738
747.0,1.13754,1.13739
748.0,1.13749,1.13733
749.0,1.13746,1.13731
750.0,1.13741,1.13727
751.0,1.13738,1.13725
752.0,1.13737,1.13722
753.0,1.13738,1.13722
754.0,1.13737,1.13722
755.0,1.13744,1.13729
756.0,1.1374,1.13725
757.0,1.13736,1.13721
758.0,1.13733,1.13719
759.0,1.13726,1.13711
760.0,1.13731,1.13715
761.0,1.13736,1.13718
762.0,1.13733,1.13719
763.0,1.13734,1.13718
764.0,1.13729,1.13713
765.0,1.1373,1.13716
766.0,1.1373,1.13716
767.0,1.13734,1.13719
768.0,1.13741,1.13726
769.0,1.13737,1.1372
770.0,1.13739,1.13724
771.0,1.13743,1.13728
772.0,1.13735,1.13722
773.0,1.13733,1.13718
774.0,1.13724,1.1371
775.0,1.13727,1.13712
776.0,1.13733,1.13717
777.0,1.13729,1.13714
778.0,1.13726,1.13711
779.0,1.13731,1.13715
780.0,1.13733,1.13718
781.0,1.13746,1.13729
782.0,1.13738,1.13724
783.0,1.13735,1.13721
784.0,1.13739,1.13724
785.0,1.13737,1.13722
786.0,1.13728,1.13714
787.0,1.13732,1.13717
788.0,1.13726,1.13711
789.0,1.13727,1.13712
790.0,1.13725,1.13709
791.0,1.13721,1.13706
792.0,1.13724,1.13709
793.0,1.13729,1.13714
794.0,1.13726,1.13712
795.0,1.1373,1.13714
796.0,1.13731,1.13715
797.0,1.13745,1.1373
798.0,1.13745,1.13728
799.0,1.13748,1.1373
800.0,1.13749,1.13733
801.0,1.13756,1.13741
802.0,1.13753,1.13738
803.0,1.13753,1.13737
804.0,1.13758,1.13743
805.0,1.13759,1.13743
806.0,1.13765,1.13749
807.0,1.13757,1.13741
808.0,1.13755,1.13739
809.0,1.13755,1.13741
810.0,1.13759,1.13744
811.0,1.13757,1.13742
812.0,1.13756,1.13742
813.0,1.13758,1.13745
814.0,1.13762,1.13748
815.0,1.1376,1.13745
816.0,1.13767,1.13752
817.0,1.13751,1.13736
818.0,1.13757,1.13741
819.0,1.1376,1.13745
820.0,1.1376,1.13744
821.0,1.13758,1.13744
822.0,1.13756,1.1374
823.0,1.13753,1.13738
824.0,1.13752,1.13737
825.0,1.13755,1.13741
826.0,1.13753,1.13736
827.0,1.13754,1.1374
828.0,1.13754,1.13739
829.0,1.13758,1.13743
830.0,1.13754,1.13738
831.0,1.13751,1.13736
832.0,1.13749,1.13733
833.0,1.13745,1.13731
834.0,1.13749,1.13735
835.0,1.13753,1.13739
836.0,1.13748,1.13735
837.0,1.13752,1.13738
838.0,1.1375,1.13735
839.0,1.13747,1.13731
840.0,1.13744,1.13729
841.0,1.13745,1.13732
842.0,1.1375,1.13735
843.0,1.13753,1.13738
844.0,1.13756,1.13742
845.0,1.13757,1.13741
846.0,1.13755,1.13739
847.0,1.13757,1.13743
848.0,1.1376,1.13746
849.0,1.13756,1.1374
850.0,1.13751,1.13735
851.0,1.13744,1.13729
852.0,1.13747,1.13731
853.0,1.13737,1.13722
854.0,1.13739,1.13724
855.0,1.13737,1.13722
856.0,1.13731,1.13716
857.0,1.13734,1.13719
858.0,1.13729,1.13714
859.0,1.13726,1.13711
860.0,1.13721,1.13706
861.0,1.13731,1.13716
862.0,1.13733,1.13719
863.0,1.13733,1.13717
864.0,1.13731,1.13715
865.0,1.1373,1.13715
866.0,1.137,1.13681
867.0,1.13705,1.13689
868.0,1.13704,1.13687
869.0,1.13707,1.13691
870.0,1.1371,1.13694
871.0,1.13699,1.13684
872.0,1.13706,1.13691
873.0,1.13705,1.13686
874.0,1.13699,1.13683
875.0,1.13701,1.13685
876.0,1.13694,1.13679
877.0,1.13694,1.13679
878.0,1.13686,1.13672
879.0,1.13696,1.13681
880.0,1.13695,1.13678
881.0,1.13692,1.13676
882.0,1.13688,1.13674
883.0,1.13688,1.13673
884.0,1.13685,1.13671
885.0,1.13688,1.13673
886.0,1.13685,1.13671
887.0,1.13684,1.13669
888.0,1.13686,1.13671
889.0,1.13692,1.13678
890.0,1.13695,1.13681
891.0,1.13695,1.1368
892.0,1.13688,1.13673
893.0,1.13685,1.1367
894.0,1.13688,1.13674
895.0,1.13686,1.13672
896.0,1.13688,1.13673
897.0,1.13686,1.13672
898.0,1.13684,1.13669
899.0,1.13686,1.13671
900.0,1.13684,1.1367
901.0,1.13679,1.13665
902.0,1.13685,1.1367
903.0,1.13682,1.13668
904.0,1.13684,1.13669
905.0,1.13686,1.13672
906.0,1.13683,1.1367
907.0,1.13676,1.13663
908.0,1.1368,1.13666
909.0,1.13683,1.13669
910.0,1.13684,1.1367
911.0,1.13682,1.13668
912.0,1.13684,1.13671
913.0,1.13681,1.13668
914.0,1.13683,1.1367
915.0,1.1369,1.13677
916.0,1.13697,1.13683
917.0,1.13695,1.1368
918.0,1.13694,1.1368
919.0,1.13692,1.13678
920.0,1.13684,1.13669
921.0,1.13682,1.13667
922.0,1.13684,1.13671
923.0,1.13695,1.1368
924.0,1.13702,1.13688
925.0,1.13699,1.13684
926.0,1.13696,1.13681
927.0,1.13699,1.13685
928.0,1.13696,1.13682
929.0,1.137,1.13685
930.0,1.1371,1.13695
931.0,1.13707,1.13692
932.0,1.13712,1.13695
933.0,1.13704,1.1369
934.0,1.13708,1.13693
935.0,1.13705,1.13691
936.0,1.13708,1.13693
937.0,1.13702,1.13687
938.0,1.13704,1.13689
939.0,1.13692,1.13678
940.0,1.13688,1.13673
941.0,1.13682,1.13667
942.0,1.13685,1.1367
943.0,1.13684,1.1367
944.0,1.13681,1.13668
945.0,1.13678,1.13666
946.0,1.13678,1.13663
947.0,1.13676,1.13661
948.0,1.13677,1.13662
949.0,1.13679,1.13665
950.0,1.13675,1.13661
951.0,1.13673,1.13659
952.0,1.13681,1.13667
953.0,1.13685,1.13671
954.0,1.13676,1.13663
955.0,1.1368,1.13666
956.0,1.13684,1.1367
957.0,1.13682,1.13667
958.0,1.13685,1.13671
959.0,1.13688,1.13674
960.0,1.13685,1.1367
961.0,1.13689,1.13674
962.0,1.13692,1.13678
963.0,1.13695,1.13681
964.0,1.13692,1.13678
965.0,1.137,1.13684
966.0,1.13697,1.13687
967.0,1.137,1.13684
968.0,1.13703,1.13688
969.0,1.137,1.13685
970.0,1.13704,1.1369
971.0,1.13698,1.13684
972.0,1.13701,1.13686
973.0,1.13709,1.13692
974.0,1.13707,1.13692
975.0,1.13705,1.13691
976.0,1.13715,1.13701
977.0,1.13719,1.13704
978.0,1.1372,1.13706
979.0,1.13718,1.13705
980.0,1.13724,1.13708
981.0,1.13721,1.13706
982.0,1.13721,1.13707
983.0,1.13725,1.1371
984.0,1.13729,1.13714
985.0,1.13727,1.13711
986.0,1.13729,1.13714
987.0,1.13725,1.13711
988.0,1.13731,1.13716
989.0,1.13729,1.13715
990.0,1.13728,1.13713
991.0,1.13721,1.13705
992.0,1.13728,1.13712
993.0,1.13727,1.13712
994.0,1.13726,1.13712
995.0,1.13724,1.13708
996.0,1.13732,1.13715
997.0,1.1373,1.13717
